packet_rate,packet_size,token_used,token_age_seconds,auth_success,request_count_window,unique_src_ips_window,label_encoded
4806,114,0,0.0,1,1408,1287,1
14,727,0,0.0,1,8,1,0
6397,124,0,0.0,1,7415,860,1
11,329,0,0.0,1,11,3,0
591,593,1,2846.0,1,469,30,2
12,918,0,0.0,0,22,1,0
2578,169,0,0.0,1,3187,475,1
449,823,0,0.0,1,327,30,2
4801,497,0,0.0,1,1679,1660,1
15,1359,0,0.0,1,10,4,0
4537,411,0,0.0,1,3967,1514,1
10,987,0,0.0,1,14,4,0
266,494,1,229.0,1,116,32,2
14,851,0,0.0,1,14,3,0
41,926,1,802.0,1,783,15,2
20,826,0,0.0,1,15,2,0
148,60,1,1289.0,1,588,40,2
11,510,0,0.0,1,11,2,0
242,1326,1,3090.0,0,425,4,2
15,861,0,0.0,1,13,3,0
20,716,0,0.0,1,14,3,0
409,450,1,3395.0,1,208,27,2
15,1112,0,0.0,1,10,4,0
11,1045,0,0.0,1,15,1,0
2251,436,0,0.0,1,2753,883,1
13,818,0,0.0,1,16,1,0
430,905,1,2923.0,1,763,43,2
17,784,0,0.0,1,15,4,0
6097,299,0,0.0,1,6641,1886,1
13,671,0,0.0,1,16,1,0
