id,timestamp,src_ip,dest_ip,protocol,user_agent,packet_rate,packet_size,token_used,token_age_seconds,auth_success,request_count_window,unique_src_ips_window,label,attack_type
2657,2023-01-29T20:57:44,10.169.119.124,172.16.161.56,HTTPS,Mozilla/5.0,10,790,0,,1,12,2,normal,none
446,2023-02-23T06:22:33,10.95.147.205,172.16.251.7,HTTPS,curl/7.64.1,21,814,0,,1,8,4,normal,none
9506,2023-02-01T16:36:36,10.30.105.9,172.16.108.22,HTTPS,curl/7.64.1,506,701,1,672.0,1,213,2,attack,mitc
333,2023-03-16T12:52:52,10.189.249.140,172.16.183.54,TCP,Mozilla/5.0,18,861,0,,1,10,2,normal,none
4169,2023-03-25T08:12:11,10.240.122.213,172.16.227.8,HTTPS,Mozilla/5.0,6483,268,0,,1,5547,1546,attack,ddos
2365,2023-03-16T16:42:46,10.251.237.204,172.16.51.134,HTTPS,Mozilla/5.0,15,708,0,,1,17,4,normal,none
6098,2023-01-11T03:37:58,10.110.34.228,172.16.138.181,HTTP,Mozilla/5.0,5399,488,0,,1,2695,1651,attack,ddos
8,2023-02-22T01:40:16,10.169.206.185,172.16.215.64,HTTP,curl/7.64.1,13,326,0,,1,13,4,normal,none
7753,2023-01-18T06:34:26,10.47.140.105,172.16.31.48,TCP,Mozilla/5.0,6875,453,0,,1,3435,1490,attack,ddos
4454,2023-01-30T09:36:44,10.92.106.9,172.16.164.154,HTTP,aws-sdk-java/1.11,5826,102,0,,1,5906,1412,attack,ddos
4744,2023-03-20T10:49:15,10.220.217.42,172.16.126.161,HTTP,Mozilla/5.0,6431,375,0,,1,3259,158,attack,ddos
6244,2023-01-06T18:18:34,10.135.171.171,172.16.10.107,HTTPS,Mozilla/5.0,1241,40,0,,1,7992,1418,attack,ddos
3127,2023-02-07T15:10:33,10.186.237.210,172.16.187.25,HTTP,aws-sdk-java/1.11,18,1063,0,,1,18,1,normal,none
4057,2023-02-15T06:50:16,10.14.250.140,172.16.99.189,HTTPS,Java/1.8,1753,460,0,,1,7404,1751,attack,ddos
5853,2023-03-28T12:57:56,10.32.17.250,172.16.255.85,HTTPS,Mozilla/5.0,2261,40,0,,1,1062,1788,attack,ddos
629,2023-03-13T19:23:01,10.134.104.64,172.16.5.130,HTTPS,Mozilla/5.0,13,767,0,,1,14,4,normal,none
8546,2023-01-05T13:44:21,10.202.122.21,172.16.255.155,HTTP,curl/7.64.1,18,211,1,3558.0,1,215,32,attack,mitc
2482,2023-03-13T01:00:55,10.218.244.154,172.16.248.90,HTTP,Mozilla/5.0,12,1001,0,,1,15,1,normal,none
9744,2023-01-03T00:47:17,10.5.170.230,172.16.226.22,TCP,Mozilla/5.0,592,535,1,3257.0,0,543,14,attack,mitc
1336,2023-02-13T11:50:43,10.43.71.223,172.16.198.250,HTTP,Mozilla/5.0,15,913,0,,1,15,2,normal,none
2684,2023-01-12T16:18:08,10.109.161.52,172.16.2.65,TCP,python-requests/2.25.1,11,680,0,,1,11,3,normal,none
4567,2023-03-03T06:49:58,10.88.155.126,172.16.58.95,HTTP,Mozilla/5.0,4287,95,0,,1,3165,1616,attack,ddos
2515,2023-01-02T23:15:01,10.219.228.251,172.16.24.103,HTTP,python-requests/2.25.1,13,1115,0,,1,11,4,normal,none
9354,2023-02-11T13:03:32,10.26.131.68,172.16.239.106,HTTP,SyncClient/3.2.1,331,594,1,457.0,1,145,29,attack,mitc
1908,2023-02-18T21:05:13,10.187.176.134,172.16.80.11,UDP,python-requests/2.25.1,16,665,0,,1,20,1,normal,none
2803,2023-01-16T05:35:05,10.135.167.76,172.16.240.86,HTTPS,Java/1.8,21,732,0,,1,24,3,normal,none
6891,2023-01-31T08:22:52,10.204.100.111,172.16.118.100,UDP,python-requests/2.25.1,5438,437,0,,1,3096,1159,attack,ddos
785,2023-01-20T11:18:41,10.218.6.177,172.16.16.63,HTTPS,Mozilla/5.0,19,1051,0,,1,16,1,normal,none
9490,2023-01-29T09:16:27,10.67.24.202,172.16.232.105,HTTPS,aws-sdk-java/1.11,514,547,1,3171.0,1,714,11,attack,mitc
6894,2023-02-10T06:53:04,10.50.2.68,172.16.172.14,HTTPS,Java/1.8,2740,258,0,,1,1980,717,attack,ddos
4111,2023-02-07T11:44:40,10.246.161.49,172.16.233.99,HTTP,SyncClient/3.2.1,1111,158,0,,1,1621,1413,attack,ddos
7642,2023-02-09T00:13:50,10.248.14.14,172.16.253.50,HTTPS,aws-sdk-java/1.11,1934,40,0,,1,6059,1767,attack,ddos
8574,2023-03-21T18:34:22,10.246.29.81,172.16.29.148,HTTP,python-requests/2.25.1,336,160,1,2445.0,1,551,11,attack,mitc
9202,2023-02-12T11:42:19,10.201.20.61,172.16.161.235,HTTPS,SyncClient/3.2.1,133,376,1,608.0,1,422,17,attack,mitc
5242,2023-02-22T17:08:26,10.231.130.170,172.16.114.144,TCP,Mozilla/5.0,3654,40,0,,1,2579,1898,attack,ddos
1928,2023-03-28T11:14:27,10.153.150.75,172.16.211.216,HTTP,Mozilla/5.0,15,558,0,,1,12,1,normal,none
6293,2023-03-18T22:34:39,10.132.175.170,172.16.46.133,UDP,SyncClient/3.2.1,4861,324,0,,1,5981,733,attack,ddos
8082,2023-03-10T03:29:30,10.215.200.207,172.16.201.13,UDP,aws-sdk-java/1.11,362,235,1,2415.0,1,71,46,attack,mitc
6711,2023-02-13T12:10:57,10.201.28.41,172.16.152.33,HTTP,Mozilla/5.0,4180,428,0,,1,6359,848,attack,ddos
4758,2023-03-19T04:12:25,10.155.168.94,172.16.176.222,HTTP,curl/7.64.1,3622,381,0,,1,7303,1350,attack,ddos
547,2023-02-22T01:47:28,10.0.59.153,172.16.56.103,HTTP,SyncClient/3.2.1,10,920,0,,1,12,2,normal,none
3043,2023-01-22T20:15:26,10.210.89.118,172.16.12.95,HTTP,Mozilla/5.0,25,757,0,,1,9,4,normal,none
1860,2023-01-27T09:03:37,10.198.103.196,172.16.53.145,HTTP,python-requests/2.25.1,12,885,0,,1,12,1,normal,none
5126,2023-03-09T22:38:03,10.173.13.138,172.16.61.116,UDP,aws-sdk-java/1.11,2656,144,0,,1,2703,571,attack,ddos
8289,2023-03-27T21:41:23,10.206.144.240,172.16.155.66,HTTP,SyncClient/3.2.1,284,234,1,2749.0,1,602,43,attack,mitc
3086,2023-03-14T15:48:43,10.226.97.7,172.16.69.3,TCP,SyncClient/3.2.1,12,520,0,,1,13,2,normal,none
2375,2023-02-06T01:29:03,10.82.41.65,172.16.57.31,HTTPS,python-requests/2.25.1,20,825,0,,1,11,4,normal,none
6409,2023-03-31T00:38:42,10.56.98.8,172.16.226.199,HTTPS,Mozilla/5.0,3033,611,0,,1,6024,223,attack,ddos
6800,2023-01-27T09:08:51,10.65.231.216,172.16.63.77,TCP,curl/7.64.1,4635,525,0,,1,3235,449,attack,ddos
6913,2023-01-11T22:28:05,10.227.21.191,172.16.3.137,HTTP,Mozilla/5.0,4138,252,0,,1,3115,1339,attack,ddos
