id,timestamp,src_ip,dest_ip,protocol,user_agent,packet_rate,packet_size,token_used,token_age_seconds,auth_success,request_count_window,unique_src_ips_window,label,attack_type,label_encoded
2657,2023-01-29T20:57:44,10.169.119.124,172.16.161.56,HTTPS,Mozilla/5.0,10,790,0,0.0,1,12,2,normal,none,0
446,2023-02-23T06:22:33,10.95.147.205,172.16.251.7,HTTPS,curl/7.64.1,21,814,0,0.0,1,8,4,normal,none,0
9506,2023-02-01T16:36:36,10.30.105.9,172.16.108.22,HTTPS,curl/7.64.1,506,701,1,672.0,1,213,2,attack,mitc,2
333,2023-03-16T12:52:52,10.189.249.140,172.16.183.54,TCP,Mozilla/5.0,18,861,0,0.0,1,10,2,normal,none,0
4169,2023-03-25T08:12:11,10.240.122.213,172.16.227.8,HTTPS,Mozilla/5.0,6483,268,0,0.0,1,5547,1546,attack,ddos,1
2365,2023-03-16T16:42:46,10.251.237.204,172.16.51.134,HTTPS,Mozilla/5.0,15,708,0,0.0,1,17,4,normal,none,0
6098,2023-01-11T03:37:58,10.110.34.228,172.16.138.181,HTTP,Mozilla/5.0,5399,488,0,0.0,1,2695,1651,attack,ddos,1
8,2023-02-22T01:40:16,10.169.206.185,172.16.215.64,HTTP,curl/7.64.1,13,326,0,0.0,1,13,4,normal,none,0
7753,2023-01-18T06:34:26,10.47.140.105,172.16.31.48,TCP,Mozilla/5.0,6875,453,0,0.0,1,3435,1490,attack,ddos,1
4454,2023-01-30T09:36:44,10.92.106.9,172.16.164.154,HTTP,aws-sdk-java/1.11,5826,102,0,0.0,1,5906,1412,attack,ddos,1
